keywords,label,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
Yahsat,com,25,1,0,1,0,0,0,1,0,2,2,0,6,0,0,8,0,0,0,2,15,12,0,6,1,4,0,1,11,0,0,0,3,0,5,0,0,5,0,0,0,0,5,6,3,8,7,0,0,0,1,0,0,10,1,0,16,0,0,1,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2,2,1,0,0
York,com,0,2,12,0,0,0,0,5,0,0,0,0,0,11,0,1,2,0,0,0,0,6,0,0,0,0,0,8,1,0,0,0,0,13,0,9,8,0,0,0,10,5,0,1,0,0,0,8,3,0,0,11,10,0,0,0,2,8,0,0,0,0,1,2,0,0,0,0,0,23,0,3,0,0,0,0,2,6,0,0
York Space Systems,com,0,1,6,0,0,0,0,5,0,0,0,1,0,1,0,3,1,2,1,1,2,1,0,0,0,0,0,2,1,0,0,0,0,1,0,2,3,0,0,1,1,5,1,1,2,2,2,7,1,1,2,3,1,3,1,3,2,2,0,2,0,4,6,3,2,3,1,1,0,6,3,3,0,0,3,2,0,2,1,0
additive manufacturing,term,0,1,0,4,1,1,0,3,0,9,1,3,0,0,3,1,6,1,12,2,2,2,5,0,1,3,0,1,0,1,8,1,0,1,6,0,3,2,0,1,3,0,0,1,1,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,1,1,0,1,0,5,2,0,1,0,0
agency,org,5,1,3,2,2,3,2,1,3,0,2,0,5,1,3,0,1,2,3,1,2,5,2,3,1,4,6,1,1,2,5,2,2,1,0,1,1,2,4,1,4,3,6,2,1,3,1,1,3,4,5,1,1,1,4,3,0,4,6,3,8,2,2,5,2,2,0,1,0,2,0,1,2,4,1,1,1,3,4,0
altitude,term,0,0,0,1,4,2,1,1,0,4,1,1,0,1,1,2,0,0,1,1,2,1,3,6,2,0,4,2,0,2,1,2,1,2,1,0,0,0,2,3,0,2,3,1,0,2,3,1,1,2,2,5,1,1,3,1,1,1,2,1,3,1,0,2,0,4,0,0,2,0,1,0,3,0,0,3,2,3,0,0
artificial intelligence,term,0,0,0,0,0,4,1,4,3,5,0,3,1,3,2,9,3,1,6,6,5,9,9,0,0,3,1,12,5,6,6,7,5,5,9,3,1,2,0,2,2,5,4,5,4,3,7,3,1,6,4,5,2,3,3,3,3,4,2,4,5,4,5,6,4,1,3,2,2,3,3,1,2,1,2,1,4,8,8,0
budget,term,3,3,10,7,21,3,5,1,2,2,1,4,13,24,16,18,7,10,5,8,5,8,2,7,3,4,15,12,14,10,8,2,6,4,7,9,5,8,7,4,4,3,6,4,6,1,2,6,1,5,3,3,6,4,2,2,3,3,3,2,1,4,3,8,1,5,3,3,0,2,4,2,8,2,9,5,10,7,0,0
climate change,term,1,0,0,1,0,0,0,0,4,1,4,1,1,0,0,0,3,0,0,1,0,0,2,0,1,1,2,0,1,1,0,0,0,3,1,0,0,0,1,2,0,1,0,0,1,0,1,1,4,5,1,11,9,1,1,4,6,0,6,1,0,0,0,1,3,1,1,0,0,0,4,3,2,0,0,1,3,2,4,0
commercial,term,3,3,2,4,0,3,1,0,5,3,2,3,6,2,4,11,2,5,4,6,5,4,5,4,5,0,2,6,7,0,3,1,4,7,1,3,1,2,2,3,0,3,3,1,2,2,4,2,1,2,2,3,3,5,1,5,7,2,7,4,4,3,7,5,6,3,2,0,5,4,3,3,2,3,6,10,7,10,5,1
commercial space,term,1,2,4,2,1,4,0,0,2,1,4,3,2,2,2,2,1,1,0,1,1,1,1,0,0,0,7,4,2,2,1,2,0,3,2,2,1,0,3,7,3,1,0,0,0,0,0,2,0,2,1,0,3,2,0,0,2,2,3,1,1,0,3,4,4,1,0,0,1,0,1,3,6,3,0,1,1,0,1,0
cost,term,7,19,12,17,21,26,5,16,21,25,18,25,37,30,46,38,52,28,28,31,44,41,37,20,28,17,47,39,37,34,35,41,24,27,14,15,21,15,33,17,20,19,25,20,15,12,10,12,18,23,26,16,18,18,14,20,23,22,21,25,14,13,16,21,21,26,17,27,15,22,23,10,18,11,25,17,24,15,25,13
